,F,V,R0,eta,gamma,alpha,,vexp,R0exp,etaexp
27,2.91659581,-15.67571786,-4.886768691,-0.136419646,0.045687372,0.02122693,,1.5564E-07,0.007545766,0.872476425
28,2.878961513,-15.6399496,-4.881427256,-0.158744434,0.048190981,0.019433445,,1.61308E-07,0.007586179,0.853214384
29,2.851309647,-15.65258116,-4.888733478,-0.132977526,0.04942918,0.029344192,,1.59283E-07,0.007530955,0.875484767
30,2.824260373,-15.64558274,-4.891242085,-0.149906673,0.041021717,0.013591244,,1.60402E-07,0.007512086,0.860788307
31,2.863310426,-15.6464788,-4.890555175,-0.140490538,0.041691611,0.017281556,,1.60258E-07,0.007517248,0.868931886
32,2.879410976,-15.65071394,-4.8812132,-0.131205204,0.046320031,0.02454696,,1.59581E-07,0.007587803,0.877037784
33,2.970282424,-15.6580122,-4.894437132,-0.149648637,0.047843019,0.017213875,,1.58421E-07,0.007488123,0.86101045
34,2.966616235,-15.65611552,-4.880778364,-0.167341095,0.043483512,0.042505234,,1.58721E-07,0.007591103,0.845911026
35,2.799959967,-15.6362937,-4.873460106,-0.14594705,0.045072635,0.008486157,,1.61899E-07,0.007646861,0.864203462
36,2.862748457,-15.6299612,-4.890642759,-0.117240399,0.0433268,0.018564595,,1.62927E-07,0.00751659,0.889371363
37,2.975920646,-15.66060732,-4.875878426,-0.140406986,0.046365321,0.013834258,,1.5801E-07,0.00762839,0.869004491
38,2.769971424,-15.62182305,-4.893812852,-0.140372883,0.043910532,0.02042131,,1.64259E-07,0.007492799,0.869034126
39,2.913499117,-15.66760384,-4.893889107,-0.147793499,0.04464327,0.02342662,,1.56908E-07,0.007492228,0.862609227
40,2.807852091,-15.66415296,-4.888405533,-0.154172868,0.044800272,0.008294055,,1.57451E-07,0.007533425,0.857123839
41,2.842277781,-15.64050657,-4.904192327,-0.132934404,0.050073592,0.022217918,,1.61218E-07,0.00741543,0.875522521
42,2.833088133,-15.6284525,-4.876643505,-0.11894034,0.043718567,0.022733348,,1.63173E-07,0.007622556,0.887860769
43,2.876281751,-15.65461778,-4.888037196,-0.162918434,0.045192666,0.022431302,,1.58959E-07,0.0075362,0.849660489
44,2.936485029,-15.6755488,-4.888580186,-0.119430316,0.045961322,0.016916454,,1.55667E-07,0.007532109,0.887425845
45,2.955401714,-15.65744066,-4.887858387,-0.142083401,0.048758042,0.033246693,,1.58511E-07,0.007537548,0.867548899
46,2.949552548,-15.65261532,-4.878953775,-0.165133522,0.044266503,0.070914289,,1.59278E-07,0.007604966,0.847780499
47,2.856456586,-15.63452695,-4.879385626,-0.129409761,0.047095902,0.022649415,,1.62185E-07,0.007601683,0.87861387
48,2.872052412,-15.62064459,-4.890801348,-0.127826198,0.044629025,0.037086402,,1.64452E-07,0.007515398,0.880006313
49,2.873878137,-15.66615012,-4.891445366,-0.169531777,0.04092313,0.026713986,,1.57137E-07,0.007510559,0.844059933
50,2.847980132,-15.63671508,-4.890390503,-0.136961074,0.049993427,0.027560704,,1.61831E-07,0.007518486,0.872004169
51,2.986783252,-15.66176305,-4.892972327,-0.152175906,0.047249841,0.044939406,,1.57828E-07,0.0074991,0.858837193
52,2.818376522,-15.64423875,-4.900107193,-0.138319099,0.044981703,0.019453464,,1.60618E-07,0.007445785,0.870820769
53,2.873865659,-15.64666846,-4.897939044,-0.12757399,0.049116472,0.028661106,,1.60228E-07,0.007461946,0.880228286
54,2.932444808,-15.64105231,-4.879456385,-0.115682437,0.044301588,0.018305832,,1.6113E-07,0.007601145,0.89075805
55,2.971390145,-15.691044,-4.892598103,-0.146133308,0.042803543,0.008372398,,1.53273E-07,0.007501906,0.864042512
56,2.885701014,-15.66036958,-4.9057774,-0.136542515,0.045277584,0.025570052,,1.58048E-07,0.007403685,0.872369231
57,2.843933857,-15.64776024,-4.902582618,-0.152262381,0.046148133,0.030662844,,1.60053E-07,0.007427376,0.858762928
58,2.838914475,-15.63916977,-4.895383644,-0.154782274,0.042595383,0.059386446,,1.61434E-07,0.007481039,0.856601661
59,2.863204807,-15.6635572,-4.883074305,-0.160193598,0.052834382,0.028815663,,1.57545E-07,0.007573694,0.851978832
60,2.878860078,-15.62456916,-4.900546416,-0.114117689,0.041970786,0.031922781,,1.63808E-07,0.007442515,0.892152953
61,2.868338678,-15.64910846,-4.892448787,-0.153130458,0.042567804,0.014750195,,1.59837E-07,0.007503027,0.858017779
62,2.819252128,-15.61081225,-4.88806816,-0.135153104,0.044596426,0.024260309,,1.66077E-07,0.007535967,0.873582153
63,2.934863364,-15.67575138,-4.885147009,-0.149465239,0.045310267,0.024891939,,1.55635E-07,0.007558013,0.861168372
64,2.952221017,-15.68926798,-4.883866349,-0.129507776,0.042189415,0.005692124,,1.53546E-07,0.007567698,0.878527757
65,2.860682902,-15.64684082,-4.89462314,-0.130166354,0.049019677,0.02144132,,1.602E-07,0.00748673,0.877949368
66,2.830297423,-15.65629297,-4.900546582,-0.152729572,0.046472918,0.010156045,,1.58693E-07,0.007442514,0.858361816
67,2.93860186,-15.67679175,-4.879064528,-0.144378192,0.041721152,0.031216183,,1.55473E-07,0.007604124,0.865560338
68,2.845666922,-15.64124563,-4.902659246,-0.134656753,0.044410266,0.01377653,,1.61099E-07,0.007426807,0.874015864
69,2.771874111,-15.62246539,-4.888670773,-0.172561221,0.047534506,0.03382235,,1.64153E-07,0.007531427,0.84150677
70,2.815052578,-15.63276983,-4.880557064,-0.142103142,0.040231256,0.052992397,,1.6247E-07,0.007592783,0.867531773
71,2.824042999,-15.64946403,-4.883017932,-0.145269816,0.045279427,0.019286635,,1.59781E-07,0.007574121,0.864788928
72,2.874638684,-15.64719613,-4.897496917,-0.128718645,0.042417013,0.023902597,,1.60143E-07,0.007465246,0.879221304
73,2.914658067,-15.64447165,-4.880427943,-0.142120406,0.045192026,0.008310201,,1.6058E-07,0.007593764,0.867516796
74,2.882588553,-15.62648641,-4.881935763,-0.137833037,0.043911085,0.030024758,,1.63495E-07,0.007582322,0.871244145
75,2.952711438,-15.67556026,-4.888938272,-0.157302556,0.045322234,0.037682774,,1.55665E-07,0.007529412,0.854445502
76,2.881878845,-15.65866387,-4.885252536,-0.137166818,0.044459623,0.013313748,,1.58317E-07,0.007557215,0.871824778
77,2.927096733,-15.680399,-4.894944402,-0.111065555,0.046266483,0.011589083,,1.54913E-07,0.007484325,0.894880083
78,2.882216041,-15.66278474,-4.888303207,-0.147912938,0.048039056,0.010282168,,1.57666E-07,0.007534196,0.862506203
79,2.851497179,-15.67145451,-4.869808445,-0.147908596,0.045709789,0.028480475,,1.56305E-07,0.007674835,0.862509949
