Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var3,Var4
9.14246666666667,9.14246666666667,9.14246666666667,9.14246666666667,9.14246666666667,9.14246666666667,9.14246666666667,9.14246666666667,9.14246666666667,9.14246666666667,0.0202982582672875,0.0189590566856791,0.0193763252339425,0.0207131690390193,0.0208262369565939,0.0203906918136791,0.0210221085087428,0.0204146609843503,0.0198973148485111,0.0205111288384187,0.0202408951176224,0.000650943824153127
13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,0.0207476830169713,0.0194070574907969,0.0198916746570286,0.0212774721839391,0.0214056691758561,0.0209632224800899,0.0215550157995369,0.020971253890348,0.0204220740254317,0.0210831595421353,0.0207724282262134,0.000683481231013933
20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,0.0212661354311458,0.0199282430143539,0.0204851368728639,0.0218959247453059,0.0220969793808529,0.0216760592508084,0.0222708004459685,0.0216110495358966,0.0210791115139869,0.0217530766780151,0.0214062516869198,0.000734769068612357
30.8641666666667,30.8641666666667,30.8641666666667,30.8641666666667,30.8641666666667,30.8641666666667,30.8641666666667,30.8641666666667,30.8641666666667,30.8641666666667,0.021900051203354,0.0205202002911439,0.0212449011929178,0.0227425758314683,0.022840526971014,0.0224381604283298,0.0230666941568351,0.0223711465540887,0.0218995123789977,0.0225051125577096,0.0221528881565859,0.000783647804019548
46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,0.0225967105893729,0.0211708055447112,0.0220447102378659,0.0235821065150024,0.0236797010237427,0.0233619140566834,0.023902779151377,0.0231674719607687,0.022750497032785,0.0234470163207737,0.0229703712433083,0.000846519031602854
69.4527166666667,69.4527166666667,69.4527166666667,69.4527166666667,69.4527166666667,69.4527166666667,69.4527166666667,69.4527166666667,69.4527166666667,69.4527166666667,0.0233711480203555,0.0219253350844518,0.0228759751702244,0.024573969342752,0.0245719517277585,0.0242319920470502,0.024897905148866,0.024160725853711,0.0236214612930009,0.0243470127989125,0.0238577476487083,0.00091693508885112
104.187416666667,104.187416666667,104.187416666667,104.187416666667,104.187416666667,104.187416666667,104.187416666667,104.187416666667,104.187416666667,104.187416666667,0.0241909633351461,0.0226915607158331,0.0237354723960891,0.025655208390772,0.0255367965978241,0.02516631631669,0.0259675568413179,0.0251558411902073,0.0246183814467535,0.0252590096469688,0.0247977106877602,0.00100507234849998
156.289466666667,156.289466666667,156.289466666667,156.289466666667,156.289466666667,156.289466666667,156.289466666667,156.289466666667,156.289466666667,156.289466666667,0.0251392469500715,0.0235608416095078,0.0248053458000055,0.0267717000607957,0.0265585480735957,0.0263009787081557,0.0270411908163875,0.0261442246221288,0.0256720577462572,0.0262812706074687,0.0258275404994374,0.0010598631348946
234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,0.0260401161459756,0.0244533052522244,0.0258088996650858,0.0280892453633898,0.0277329007401783,0.0274865757059244,0.0282865094061849,0.0272565136884818,0.0267443308974929,0.0272038753042629,0.0269102272169201,0.00118008248591358
351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,0.0271944842659421,0.0255640926205527,0.0270058091613085,0.0296035806524033,0.0289736422767586,0.028642269383936,0.0295200838663887,0.0285098553135,0.0278292712122748,0.0284328966562853,0.028127598540935,0.00125287302252983
527.47695,527.47695,527.47695,527.47695,527.47695,527.47695,527.47695,527.47695,527.47695,527.47695,0.0282973772224287,0.026704832524482,0.028143003397856,0.0309321359814299,0.0303722924366562,0.0300723688690711,0.0309235382692434,0.0298393669875467,0.0290135165949792,0.0295958682370842,0.0293894300520777,0.00135422987835386
791.223766666667,791.223766666667,791.223766666667,791.223766666667,791.223766666667,791.223766666667,791.223766666667,791.223766666667,791.223766666667,791.223766666667,0.0296165737424468,0.0279298537421532,0.029656797257763,0.0329008232885906,0.0321211511946189,0.0317097033280173,0.0320881113055422,0.0315017161079711,0.030409012855778,0.0308379250727393,0.030877166789562,0.00149733122691741
