,0,1,2,3,4,5,6,7,8,9,10,11
31,-15.600246489292738,-15.629765348940671,-15.605854103129671,-15.604085359567701,-15.605206622264314,-15.598849991245235,-15.62351241480581,-15.609089398621583,-15.636392269037891,-15.585422493840534,-15.638444972713716,-15.659939278470453
32,-15.618978289948041,-15.629765348940671,-15.605854103129671,-15.606043930921002,-15.603109535219211,-15.595696733056194,-15.62351241480581,-15.615313164231752,-15.636392269037891,-15.58996719407062,-15.643010665624967,-15.659939278470453
33,-15.622278931579753,-15.628528223554069,-15.608355385746078,-15.606458977513508,-15.603109535219211,-15.590538470840654,-15.62351241480581,-15.616193383182956,-15.636487764831436,-15.58996719407062,-15.643010665624967,-15.659939278470453
34,-15.636210550790517,-15.635037995252313,-15.618495621458596,-15.606458977513508,-15.603109535219211,-15.599488638352105,-15.62184855400869,-15.616193383182956,-15.636487764831436,-15.58996719407062,-15.643010665624967,-15.659939278470453
35,-15.636210550790517,-15.632013202999234,-15.618495621458596,-15.615499993127008,-15.603109535219211,-15.599488638352105,-15.62184855400869,-15.616193383182956,-15.636487764831436,-15.58996719407062,-15.638015247745608,-15.659939278470453
36,-15.636210550790517,-15.632013202999234,-15.618586598658194,-15.615017127154768,-15.603368340373837,-15.596143146365852,-15.620214812373458,-15.616193383182956,-15.636487764831436,-15.58996719407062,-15.638260523302227,-15.659939278470453
37,-15.636210550790517,-15.630556792387967,-15.618586598658194,-15.614814540748071,-15.603368340373837,-15.607052535548169,-15.620214812373458,-15.626050316367172,-15.636487764831436,-15.58996719407062,-15.638492999728962,-15.659939278470453
38,-15.645061171691971,-15.630556792387967,-15.618586598658194,-15.614176352517092,-15.603368340373837,-15.60536097773221,-15.620214812373458,-15.626050316367172,-15.636487764831436,-15.58996719407062,-15.648428118172204,-15.662028427023017
39,-15.650972481920466,-15.630556792387967,-15.618586598658194,-15.614799714754712,-15.603368340373837,-15.60536097773221,-15.620214812373458,-15.626050316367172,-15.636487764831436,-15.593558722310188,-15.648428118172204,-15.663314264051374
40,-15.650972481920466,-15.635617285533698,-15.618586598658194,-15.621039063481792,-15.603368340373837,-15.60536097773221,-15.621563244341516,-15.620918549146886,-15.636487764831436,-15.593558722310188,-15.654459223770488,-15.663314264051374
41,-15.650748336594177,-15.628738373789377,-15.618586598658194,-15.644729220345825,-15.600858127816055,-15.60536097773221,-15.621563244341516,-15.619533377095404,-15.639537232985873,-15.593558722310188,-15.654459223770488,-15.666538549547024
42,-15.650950085676149,-15.642600553782179,-15.625345717451658,-15.644729220345825,-15.600858127816055,-15.60536097773221,-15.621563244341516,-15.619533377095404,-15.639537232985873,-15.614210974455412,-15.678589092266215,-15.662119559074094
43,-15.650950085676149,-15.68428534960982,-15.627147718180657,-15.644729220345825,-15.61196672361371,-15.60536097773221,-15.621563244341516,-15.643378813562341,-15.639537232985873,-15.608449016161646,-15.676600569782446,-15.662119559074094
44,-15.650950085676149,-15.68428534960982,-15.627147718180657,-15.64045086162653,-15.61196672361371,-15.60536097773221,-15.628992740223422,-15.643378813562341,-15.603015309699066,-15.64102570486614,-15.676600569782446,-15.662119559074094
45,-15.63329129337346,-15.673015543578453,-15.627260096639278,-15.651181119102043,-15.590482715612868,-15.60536097773221,-15.628992740223422,-15.641968596244864,-15.603015309699066,-15.64102570486614,-15.676600569782446,-15.66848080281858
46,-15.63522596396133,-15.673015543578453,-15.627260096639278,-15.649817600241365,-15.590482715612868,-15.601992965138328,-15.628992740223422,-15.634812225700795,-15.62397396177607,-15.64795788473647,-15.676600569782446,-15.66848080281858
47,-15.636979086846683,-15.673015543578453,-15.627900181170595,-15.649817600241365,-15.590482715612868,-15.601992965138328,-15.628992740223422,-15.652421459350995,-15.62397396177607,-15.64795788473647,-15.676600569782446,-15.66848080281858
48,-15.636979086846683,-15.673015543578453,-15.627505925485872,-15.668834867754361,-15.590482715612868,-15.601992965138328,-15.639317942312186,-15.652421459350995,-15.645671215214461,-15.639983062420487,-15.67494064819611,-15.702493957662782
49,-15.641857187106089,-15.673015543578453,-15.618246957387138,-15.668834867754361,-15.612204457404722,-15.60403635208042,-15.641044427400274,-15.6535301826078,-15.650322034368216,-15.64325430674883,-15.67494064819611,-15.702493957662782
50,-15.639752275116793,-15.680045334863577,-15.619043307535959,-15.668834867754361,-15.60622759511836,-15.63981644574147,-15.641044427400274,-15.654552936654598,-15.639657403965451,-15.64325430674883,-15.678585357671698,-15.679747706752034
51,-15.639760407191028,-15.680045334863577,-15.647640589666699,-15.654798133837147,-15.60622759511836,-15.63981644574147,-15.641044427400274,-15.6525615110913,-15.64154267920282,-15.65587894431774,-15.678209608457287,-15.682922124813336
52,-15.639760407191028,-15.675115510173427,-15.6477025686562,-15.655669294996601,-15.60622759511836,-15.639538713476695,-15.641044427400274,-15.6525615110913,-15.64154129629638,-15.65808611848214,-15.675493650463793,-15.682922124813336
53,-15.639428032932335,-15.675115510173427,-15.647668038268087,-15.661346455910591,-15.60622759511836,-15.639848748539881,-15.641044427400274,-15.631801200916726,-15.630119859401072,-15.668798860844277,-15.678261133755687,-15.682922124813336
54,-15.640930349635598,-15.675837273450695,-15.639255660215223,-15.682246528808989,-15.63734324267918,-15.657092182606508,-15.63707169168233,-15.630020549915136,-15.630119859401072,-15.675659415367349,-15.678261133755687,-15.682922124813336
