,F,V,R0,eta0,etainf,n,tcr,gamma,alpha
2028,2.819590393766594,-14.52476036866657,-4.4699028766669135,3.458174622276557,-6.768663358398805,-0.2633782702165466,-0.3913784841894134,0.06398957271361673,0.1507419564895495
2029,2.767795893640889,-14.478296515246482,-4.433523663056603,3.470468674782223,-7.160692504786099,-0.24827054375743274,-0.3529578495377289,0.06382923217878973,0.06142065810731186
2030,2.699224912417696,-14.454592158674139,-4.393426726641029,3.462713245094444,-6.780392210669683,-0.25130652414729215,-0.4007560026057541,0.0677130448856208,0.18168418026275882
2031,2.739594785968833,-14.503908974941286,-4.518653089322951,3.4672996897792983,-6.982479384724836,-0.2539203263701521,-0.30717966158038734,0.0681053284737778,0.027786642794882202
2032,2.7929359731890835,-14.538883449718464,-4.450679760825606,3.465529162333434,-7.039180659974317,-0.2683859351220655,-0.3340130844614871,0.06549172139416559,0.020921974800397272
2033,3.028119699393439,-14.5236956735197,-4.488910843288367,3.4683057835797544,-7.305569552872831,-0.2622111001055324,-0.41325037087546435,0.06636520822878356,0.21951422493596606
2034,2.9065184864907168,-14.567440845374765,-4.407427765111669,3.46652283528065,-7.1956119633437945,-0.26050445367567265,-0.36965403436312594,0.06694555652270376,0.0472926391035043
2035,2.795067241283471,-14.488500505586803,-4.428687948207121,3.46879324970885,-6.631290761480258,-0.2738596240603716,-0.4084529244046238,0.06629391052178475,0.19349705086759986
2036,2.775418074752313,-14.478923500529381,-4.45627333953823,3.4564736223945505,-6.903901470739261,-0.259411780622674,-0.39140681548330897,0.06357766697168783,0.4348761032718519
2037,2.7967521486983187,-14.469994640616449,-4.460948029521182,3.468270364165753,-6.834142221143846,-0.2590021481387449,-0.44660087919060415,0.06209605602977539,0.18600375692410684
2038,2.7947853136658014,-14.559446810505266,-4.407431801553587,3.461130650504134,-7.04242373610877,-0.26248367670473327,-0.31041819138440674,0.0652547685554091,0.036873169803712025
2039,2.7426649501331752,-14.484597102474531,-4.444556718034965,3.4662571169689156,-7.14741265348057,-0.259594548743523,-0.3833623694414716,0.0669231374511015,0.2774748376059307
2040,2.9021920377953063,-14.563254462572633,-4.421266293927783,3.4621577110556516,-7.561267439537004,-0.2536162038424113,-0.35331747423643567,0.0648074536288904,0.1541031153198516
2041,2.938122222641644,-14.467766239414956,-4.41816224148601,3.4639002657960805,-6.60649986670513,-0.26356441828021154,-0.30000377387218224,0.0670032676572068,0.25572832052345584
2042,2.790901058099042,-14.425300910802704,-4.424852730501406,3.4675633186455195,-7.398109572854949,-0.25848488715598295,-0.4117875237632023,0.06825609128507314,0.1881220873141755
2043,2.896125406331175,-14.543567380938097,-4.437886373403474,3.45794240899063,-6.986975946611387,-0.2558156296345661,-0.41655085645343326,0.065493771359189,0.0824500401613466
2044,2.7452433418852595,-14.488344586853819,-4.505155536869904,3.4631181824074253,-7.030801712958362,-0.2530870955970463,-0.33726214264818294,0.06098666957941781,0.11115743614638215
2045,2.784649286145732,-14.53204739380315,-4.4387781825815225,3.468648321156054,-7.006079610234924,-0.2521035960435803,-0.31949617782257506,0.06137432825352538,0.0618466923528479
2046,2.756628449378776,-14.542603562188168,-4.465906902984712,3.4683955125003414,-7.11836774172416,-0.2710581491750277,-0.24242679228240044,0.06492693529459498,0.054872590333003575
2047,2.796295587426492,-14.472901893426888,-4.435396010861092,3.4635442089139614,-7.264518269118217,-0.24855430926198205,-0.32294551961366674,0.0675904243138819,0.15527415731572328
2048,2.787802513251217,-14.521666099077787,-4.46518189038969,3.463524258507543,-6.420829870107654,-0.25091146792301383,-0.2821318582416672,0.06790695324748725,0.05352336564966173
2049,2.7008177913568154,-14.435383624570663,-4.433972111292177,3.457179280260196,-6.564206692841264,-0.2618828581676445,-0.35072434370083094,0.06544299986170819,0.23018705067995093
2050,2.851903479139308,-14.520229236149417,-4.448276660158616,3.4632059811735427,-6.906153983689286,-0.2566309537349384,-0.3679507580975068,0.06479731720878062,0.07525527522880177
2051,2.8666365807969054,-14.503629489616738,-4.406025756339791,3.466361601652342,-7.021029960009514,-0.2656598060723886,-0.3886931195028529,0.06413218466060064,0.08622144248926637
2052,2.814324890864677,-14.481497089937106,-4.425002263224283,3.4640549057416754,-7.29483212709891,-0.2644751274631418,-0.3738106750261483,0.06391459605122984,0.110566820475523
2053,2.7800778961365524,-14.515793919150562,-4.445200578985951,3.4651259285590705,-6.867159890784548,-0.2605261896037825,-0.3616064529274581,0.06709290817179756,0.16210724920907632
2054,2.6380763166344954,-14.466188949778813,-4.438004204117281,3.4661825716552435,-6.729602399317242,-0.26023516572889177,-0.30409127806090275,0.0680249452214919,0.11980503512734497
2055,2.7911958659429468,-14.487271410044038,-4.473425619523486,3.4672334328487535,-7.288333616889576,-0.2721267422219813,-0.2793703650998536,0.06638453710978949,0.10188824163685367
2056,2.7372237515310234,-14.477931250279482,-4.430978381463206,3.464875828076511,-6.496978358679396,-0.2516115444722642,-0.40688221026119675,0.06383782788171033,0.16193654158429643
2057,2.71341176367198,-14.449899090504195,-4.453766386326953,3.4635425528922243,-6.427993627997853,-0.24529000851026378,-0.40788984188689514,0.06594059937503818,0.08342244123049015
2058,2.7312810744625327,-14.484472411519292,-4.436596247089997,3.465064581567105,-6.748553858054896,-0.25908389646625135,-0.3128989332253694,0.0683838537639485,0.24795496892710717
2059,2.8270477598503017,-14.475762790057312,-4.456856051699261,3.46719773539011,-6.871276539110374,-0.2613314471884259,-0.3085706188966193,0.06659138328965691,0.18215569852349614
2060,2.837947578592302,-14.497560057654255,-4.501597814646586,3.465492910772199,-6.932837941808013,-0.253509470407357,-0.3650757705397022,0.0636112403064847,0.13312017404999266
2061,2.712959801484767,-14.46636183508204,-4.48613936284527,3.470993575101304,-6.972508871784127,-0.25799717691190666,-0.42312950191982934,0.06849840162110812,0.03337727477860574
2062,2.643612633956631,-14.47107287200805,-4.40936086446566,3.468542642473306,-7.046361926773651,-0.25928163497927814,-0.3406606086687078,0.06761175388308857,0.1199922798988738
2063,2.755645321801339,-14.519580212086735,-4.432440956810214,3.4575790283818995,-6.614113707605489,-0.25622694320536293,-0.34426605738702115,0.06454758868332089,0.1735684339015321
2064,2.734088979258747,-14.486517413273779,-4.490868514793623,3.4636493912158413,-6.7383895031208,-0.2630795784523219,-0.3554647491944251,0.06324043905613028,0.168844708677521
2065,2.6934913037422983,-14.530138567381053,-4.432702949886701,3.457176719392892,-7.263756625921256,-0.25333578335588247,-0.28966127897285476,0.06797133873194587,0.0472965926999334
2066,2.832149587825345,-14.50408188330574,-4.419424008168475,3.4734855227501216,-6.780971739954966,-0.25561289858392305,-0.43691083568079714,0.0665468979251079,0.15358050498911077
