,F,V,R0,eta0,etainf,n,tcr,gamma,alpha,,vexp,r0exp,eta0exp,etainfexp,nexp,tcrexp
103,8.399318384,-14.55262784,-4.389302681,3.466571017,-6.776352287,-0.240300497,-0.258852188,0.068176339,0.122375525,,4.78491E-07,0.01240938,32.02673483,0.001140427,0.786391517,0.771937116
104,8.509689343,-14.50919511,-4.416397517,3.464510841,-7.051913052,-0.254162011,-0.366127915,0.067739615,0.143624896,,4.99731E-07,0.012077664,31.96082202,0.000865751,0.775566142,0.693414098
105,8.489552681,-14.53434196,-4.41454156,3.460891687,-6.937833709,-0.252954371,-0.416849434,0.067050494,0.144982864,,4.87321E-07,0.0121001,31.84535994,0.000970369,0.776503312,0.659120154
106,8.514605937,-14.56366845,-4.385252164,3.468629663,-6.950976919,-0.261795108,-0.337912469,0.065635761,0.306948726,,4.73238E-07,0.012459746,32.09273443,0.000957699,0.769668707,0.713257717
107,8.493969126,-14.57571954,-4.353050378,3.469551504,-7.140986156,-0.251177446,-0.392420027,0.06800638,0.095933366,,4.67569E-07,0.012867502,32.12233248,0.000791971,0.777884327,0.67542036
108,8.609405386,-14.54080835,-4.397066941,3.467031902,-6.976410125,-0.258686175,-0.410365612,0.065160968,0.063325079,,4.8418E-07,0.012313403,32.04149885,0.000933649,0.772065278,0.663407656
109,8.486502208,-14.55861753,-4.401457717,3.466629688,-7.254040706,-0.258066062,-0.323076176,0.068815868,0.079189724,,4.75634E-07,0.012259456,32.02861393,0.000707311,0.772544195,0.723918707
110,8.594622937,-14.53157185,-4.4044474,3.471373932,-7.049698422,-0.253848645,-0.323221137,0.066527761,0.066950989,,4.88673E-07,0.012222859,32.18092649,0.000867671,0.775809216,0.723813775
111,8.630075534,-14.53817589,-4.379615856,3.461037732,-6.84273026,-0.253365255,-0.488197666,0.068801075,0.157404845,,4.85457E-07,0.012530171,31.85001113,0.001067186,0.776184325,0.613731547
112,8.543986017,-14.49800691,-4.403706449,3.46943439,-7.051328704,-0.250571197,-0.367808164,0.066471679,0.161080141,,5.05354E-07,0.012231919,32.11857071,0.000866257,0.778356061,0.692249968
113,8.470691288,-14.50691114,-4.382443804,3.462630067,-7.265503176,-0.252030579,-0.357367827,0.068094795,0.088231686,,5.00874E-07,0.012494786,31.90076743,0.000699249,0.777220971,0.69951515
114,8.598597376,-14.57506122,-4.370461481,3.47430228,-6.881685339,-0.274311281,-0.302007173,0.065069802,0.325699923,,4.67877E-07,0.012645404,32.27530157,0.001026413,0.760095435,0.739332761
115,8.491539803,-14.57371965,-4.343879836,3.469136374,-7.353798739,-0.249152127,-0.388195113,0.069026687,0.103230341,,4.68505E-07,0.012986047,32.10900029,0.000640156,0.779461387,0.678279989
116,8.529296243,-14.53739276,-4.400027042,3.468042059,-6.794618839,-0.259283241,-0.413337938,0.065822375,0.085431398,,4.85837E-07,0.012277008,32.07388215,0.001119785,0.771604442,0.66143872
117,8.523773833,-14.50079879,-4.359293546,3.468439987,-6.71078966,-0.261901537,-0.39328401,0.064388665,0.072109557,,5.03945E-07,0.012787418,32.0866478,0.001217702,0.769586796,0.67483706
118,8.499981743,-14.55841192,-4.387290366,3.466236993,-6.654758625,-0.253958395,-0.277777872,0.06653621,0.199085922,,4.75732E-07,0.012434376,32.0160389,0.001287879,0.775724075,0.757465057
119,8.517425442,-14.5331278,-4.369643865,3.465217647,-7.589712961,-0.249580418,-0.34107917,0.064138139,0.113296411,,4.87913E-07,0.012655747,31.98342011,0.000505626,0.779127623,0.711002616
